"Timestamp","Age:","Occupation (i.e. student, developer, teacher,...):","On a scale of 1 to 5, how satisfied are you with the overall user experience?","How easy was it to navigate the platform?","Have you experienced any issues with loading time or responsiveness?","If yes, please explain.","How would you rate the functionality of the following features? [Login]","How would you rate the functionality of the following features? [Signup]","How would you rate the functionality of the following features? [Account setting]","How would you rate the functionality of the following features? [Play game]","How would you rate the functionality of the following features? [Game history]","What is one thing you would like to see improved?","Are there any new features you would like to suggest?","Please share any additional comments or suggestions."
"2024/10/14 1:49:46 pm GMT+11","32","Developer","5","Very easy","No","","Excellent","Excellent","Excellent","Excellent","Good","N/A","N/A","nice GUI"
"2024/10/14 1:50:26 pm GMT+11","21","student","5","Very easy","No","","Excellent","Excellent","Excellent","Excellent","Excellent","More features","More settings option",""
"2024/10/14 2:19:25 pm GMT+11","24","student","4","Easy","Yes","playing with the model is somewwhat sloww to return its move","Excellent","Average","Good","Good","Good","Faster response time in signup and play game","multiple level of difficulty",""
"2024/10/14 4:18:20 pm GMT+11","20","student","5","Very easy","No","","Excellent","Excellent","Excellent","Average","Excellent","change the arrangement of the gameboard.","no",""
"2024/10/14 5:26:34 pm GMT+11","21","Student","5","Neutral","No","","Excellent","Good","Good","Good","Good","Overall picture quality","Na",""
"2024/10/14 6:23:09 pm GMT+11","30","Teacher","4","Neutral","No","","Excellent","Good","Average","Good","Excellent","The account settings","nothing",""
"2024/10/14 6:33:41 pm GMT+11","19 ","Student","5","Easy","No","","Good","Good","Excellent","Excellent","Good","Playboard images","Bigger board of tic tac toe","Maybe you can make the playboard page more engaging and more attractive"
"2024/10/14 6:34:47 pm GMT+11","17","student","4","Very easy","No","","Excellent","Good","Good","Good","Average","The game history","more game modes","The game history is pretty average and could get some improvement"
"2024/10/14 6:43:29 pm GMT+11","28","pharmacist ","5","Neutral","No","","Average","Good","Good","Good","Excellent","The login page could have more features ","none","Its already quite good"
"2024/10/14 6:58:30 pm GMT+11","26","Data analyst","5","Very easy","No","","Good","Good","Excellent","Excellent","Excellent","The signup could have less ","More game modes",""
"2024/10/14 7:27:52 pm GMT+11","21","student","5","Very easy","No","","Excellent","Good","Excellent","Excellent","Excellent","The signup page might be too full","none",""
"2024/10/14 7:29:05 pm GMT+11","27","developer ","4","Easy","No","","Good","Average","Good","Excellent","Excellent","The signup page needs us to fill in unused info","none",""
"2024/10/14 7:30:17 pm GMT+11","22","Student ","4","Easy","Yes","It was kinda slow","Excellent","Good","Excellent","Excellent","Good","The loading was kind of slow, make it faster","None",""
"2024/10/14 7:43:31 pm GMT+11","21","student","3","Neutral","No","","Average","Average","Average","Average","Average","Design of the web","None",""
"2024/10/14 7:44:27 pm GMT+11","23","student","4","Easy","No","","Average","Good","Good","Average","Excellent","Game board","None",""
